10000, quicksort, 1.774, micro-seconds, 1
10, quicksort, 1.717, micro-seconds, 1
100, quicksort, 1.78, micro-seconds, 1
1000, quicksort, 1.802, micro-seconds, 1
10000, quicksort, 1.773, micro-seconds, 1
10, quicksort, 1.78, micro-seconds, 1
100, quicksort, 1.779, micro-seconds, 1
1000, quicksort, 1.715, micro-seconds, 1
10000, quicksort, 1.74, micro-seconds, 1
10, quicksort, 1.738, micro-seconds, 1
100, quicksort, 1.715, micro-seconds, 1
1000, quicksort, 1.769, micro-seconds, 1
10000, quicksort, 1.934, micro-seconds, 1
10, quicksort, 1.849, micro-seconds, 1
100, quicksort, 1.875, micro-seconds, 1
